Tour ID,Tour Title,Category,City,Area/State,Country,AVG Rating,Reviews,Activity URL,Save up to,From,To,Price from,Location
680719,China Tea& Incense Art Experience and Beadwork Making Class,Workshops,New York City,New York (State),United States,,,https://www.getyourguide.com/activity/-t680719?partner_id=ABMB4KH,5%,2024-07-14,2024-08-31,€69.52,"Queens, Flushing, Like a local"
398155,New York City: Central Park Electric Scooter Tour,Walking Tours,New York City,New York (State),United States,4.6,189,https://www.getyourguide.com/activity/-t398155?partner_id=ABMB4KH,25%,2024-07-12,2024-08-10,€41.17,"Manhattan, Central Park"
155676,NYC: Central Park Bike Rental,Other,New York City,New York (State),United States,4.2,736,https://www.getyourguide.com/activity/-t155676?partner_id=ABMB4KH,50%,2024-07-10,2024-08-08,€6.86,"Manhattan, Central Park"
740980,2 Comedy club admissions for Rodney's Comedy Club,Shows And Events,New York City,New York (State),United States,,,https://www.getyourguide.com/activity/-t740980?partner_id=ABMB4KH,20%,2024-07-09,2024-08-08,€14.64,"Manhattan, Midtown, Like a local"
202855,NYC: E-Bike Rental for Central Park and Downtown,Other,New York City,New York (State),United States,4.4,50,https://www.getyourguide.com/activity/-t202855?partner_id=ABMB4KH,20%,2024-06-30,2024-10-31,€18.30,"Manhattan, Central Park, Downtown"
19274,Central Park Bike Rentals,Other,New York City,New York (State),United States,4.3,1654,https://www.getyourguide.com/activity/-t19274?partner_id=ABMB4KH,50%,2024-06-26,2025-04-29,€6.85,"Manhattan, Central Park"
733565,NYC: Guided Central Park Private Pedicab Tour (60 mins),Walking Tours,New York City,New York (State),United States,5.0,1,https://www.getyourguide.com/activity/-t733565?partner_id=ABMB4KH,30%,2024-06-24,2025-10-31,€38.42,"Manhattan, Central Park "
336211,NYC: Ghosts & Ghouls of Greenwich Village Walking Tour,Attraction Tours,New York City,New York (State),United States,4.6,16,https://www.getyourguide.com/activity/-t336211?partner_id=ABMB4KH,20%,2024-06-03,2024-10-15,€25.62,"Manhattan, Greenwich Village, West Village"
662850,NYC: Boos & Booze Haunted Pub Crawl,Walking Tours,New York City,New York (State),United States,5.0,2,https://www.getyourguide.com/activity/-t662850?partner_id=ABMB4KH,15%,2024-06-03,2024-10-15,€27.22,"Manhattan, Greenwich Village, West Village"
597994,#1 Six Hour Bus Tour and Boat Ride By The Statue of Liberty,Day Trips,New York City,New York (State),United States,5.0,1,https://www.getyourguide.com/activity/-t597994?partner_id=ABMB4KH,20%,2024-06-01,2024-12-03,€160.26,"Manhattan, Times Square, Washington Square Park, Empire State Building, NoHo, Soho, Chinatown, Brooklyn Bridge, Wall Street, Statue of Liberty, 9/11 Memorial, Grand Central Terminal, Rockefeller Center, Central Park"
